date,alimentaire,alimentaire hors tabac,ipc
1996-01-01,85.89960519179367,80.29565124192541,72.8
1996-02-01,86.5390482105984,81.04279029832405,72.9
1996-03-01,85.54608258252334,80.06322608251469,73.6
1996-04-01,85.75978498945828,80.16291099990866,73.5
1996-05-01,85.72799069824613,80.1209957055096,74.2
1996-06-01,86.19387912409967,80.82137853944744,73.8
1996-07-01,85.84729583492783,80.61642571946989,73.6
1996-08-01,86.6881285369115,81.32804411304669,72.6
1996-09-01,85.88600763410076,80.35168426009164,72.8
1996-10-01,86.73341908681013,81.13536016035229,72.9
1996-11-01,87.3749810534094,81.63265000890473,73.3
1996-12-01,86.27046412022356,80.75216602131633,73.6
1997-01-01,85.31644684822466,80.2785466493506,74.6
1997-02-01,85.89702484990751,80.87616469099055,74.0
1997-03-01,86.86894755128591,81.71079501410061,73.7
1997-04-01,86.37861292907701,81.0970341513203,73.9
1997-05-01,86.92803466972977,81.76677142811093,74.5
1997-06-01,85.82678675542358,80.75645797483773,74.6
1997-07-01,85.33111993799808,80.24661812233003,74.8
1997-08-01,86.41785250220295,81.15760972578052,74.6
1997-09-01,87.32805276878574,81.90391792727708,74.9
1997-10-01,87.5968943601251,82.22001129044958,75.1
1997-11-01,86.45629909190293,81.10351826926791,75.6
1997-12-01,87.63429988249433,82.20529286462644,75.4
1998-01-01,88.0866086988803,82.77570852473222,75.4
1998-02-01,87.38093992138917,82.08358524416552,75.2
1998-03-01,86.01537307835694,80.6672325941013,75.2
1998-04-01,88.05525857431905,82.74339975398584,75.8
1998-05-01,88.79133495701406,83.40744602445203,76.4
1998-06-01,87.48360113721252,82.02813456216512,76.8
1998-07-01,87.33149916582933,81.97165314152309,76.3
1998-08-01,88.49867915120474,83.25378006185248,76.1
1998-09-01,87.45287708446028,82.16250560961875,75.8
1998-10-01,88.10006249344357,82.80764793441888,75.4
1998-11-01,87.99366015794864,82.46587705770584,75.6
1998-12-01,89.08553957789516,83.2997939003745,75.6
1999-01-01,87.56541128690913,82.18166683449341,76.1
1999-02-01,87.93529471904891,82.79566507092633,76.0
1999-03-01,88.03639034759398,82.85369696200263,76.1
1999-04-01,88.8573810407177,83.74922734440152,76.2
1999-05-01,88.68207843483165,83.68688920429116,76.5
1999-06-01,88.81850684146706,83.69355961731667,76.3
1999-07-01,89.88038208267682,84.57712479463467,75.7
1999-08-01,88.42575394083246,83.00440241092345,75.0
1999-09-01,90.24263652399135,84.84736817826693,75.2
1999-10-01,89.53763085058524,83.93602172644518,75.6
1999-11-01,90.66257159599039,84.96407172718226,76.0
1999-12-01,91.37983661366607,85.894618912453,76.3
2000-01-01,89.95564345510292,84.89427200921075,76.5
2000-02-01,89.91412436479519,84.6360320502341,76.8
2000-03-01,90.05812949093747,84.84782106455042,76.8
2000-04-01,89.9622648899262,84.85376922552295,77.4
2000-05-01,90.2050045033571,84.89167394186748,77.8
2000-06-01,91.28474510916321,85.9023939241389,77.8
2000-07-01,91.68684906291706,86.30369663046254,77.6
2000-08-01,91.32790553543398,85.87204985745804,77.5
2000-09-01,93.05973143935165,87.66383871931666,77.7
2000-10-01,90.61285026585873,85.08826540032877,78.0
2000-11-01,91.11942439134215,85.64555025319237,78.6
2000-12-01,90.55260842500374,84.9696451957889,78.7
2001-01-01,91.33463553797031,85.90237847958836,79.2
2001-02-01,91.54917415022672,86.22020985046079,79.5
2001-03-01,91.36595394836856,86.16070924219461,80.5
2001-04-01,90.87429031608461,85.63840307338943,81.4
2001-05-01,90.612876840556,85.25988053681765,82.9
2001-06-01,92.07175490129465,86.76314979981659,83.0
2001-07-01,91.22020053015135,85.89198944018173,83.1
2001-08-01,91.50005543549733,86.13735590416579,82.3
2001-09-01,91.34531443879598,85.90488852332658,82.4
2001-10-01,92.11970347760746,86.58445130633375,82.7
2001-11-01,91.84153812715238,86.0428280046947,82.5
2001-12-01,92.79615699238342,86.87937167468822,82.8
2002-01-01,90.09546425137712,84.94307274381198,84.4
2002-02-01,91.20702831479647,86.30337098927056,84.2
2002-03-01,93.64967482128678,88.88767638658679,84.2
2002-04-01,90.13643198856381,84.94212228653696,84.3
2002-05-01,92.37382925307064,87.28701636620849,84.6
2002-06-01,91.75605562263198,86.9263891770692,84.5
2002-07-01,92.29452846481442,87.39180795511356,84.0
2002-08-01,93.2464072858492,88.16053284952781,83.5
2002-09-01,92.65641542825303,87.42722032244696,83.6
2002-10-01,93.61188756731026,88.37384394760431,83.9
2002-11-01,93.69848363533924,88.25064842785343,83.9
2002-12-01,92.99262962480313,87.4759792461355,84.0
2003-01-01,92.26817383210656,88.0125018530857,84.8
2003-02-01,91.7588762923545,87.73187529400984,85.2
2003-03-01,91.46679838005521,87.1763437733079,85.6
2003-04-01,92.66771522664148,88.36904474419725,85.9
2003-05-01,93.81684660060242,89.52801690265544,85.9
2003-06-01,92.00153168712109,87.55813656551547,86.7
2003-07-01,91.17016164812438,86.76208705453942,86.3
2003-08-01,93.07067583938056,88.83093462196129,86.1
2003-09-01,93.1032788457771,88.96992947387542,86.9
2003-10-01,91.75578877704126,88.59094039175571,86.5
2003-11-01,90.2607098308464,87.98318195096739,86.3
2003-12-01,92.11108075560566,89.54281575228143,86.0
2004-01-01,91.85651719746126,89.75159264782208,86.6
2004-02-01,89.91545829659643,87.70687373606424,86.2
2004-03-01,91.19502733233507,89.06400641805668,86.8
2004-04-01,91.61980614925295,89.69818522283607,87.2
2004-05-01,91.06779721537521,89.15106076277678,87.4
2004-06-01,91.47452760203639,89.3575832599283,87.8
